PUID,Name,Version,Extensions,Binary signature?,Container Signature?,Deprecated?
x-fmt/188,SDSC Image Tool Wavefront Raster Image,,rla ,X,X,X
x-fmt/189,SDSC Image Tool Run-Length Encoded Bitmap,,rle ,X,X,X
x-fmt/192,SAS for MS-DOS Catalog,,sct ,X,X,X
x-fmt/193,Unisys (Sperry) System Data File,,sdf ,X,X,X
x-fmt/194,IRIS Graphics,,,X,X,Yes
x-fmt/195,Standard Generalized Markup Language,,sgm sgml ,X,X,X
x-fmt/196,NeXt Sound,,,X,X,Yes
x-fmt/197,DataFlex Query Tag Name,,tag ,X,X,X
x-fmt/198,Pagemaker TableEditor Graphics,,tbl ,X,X,X
x-fmt/199,Turbo Debugger Keystroke Recording File,,tdk ,X,X,X
x-fmt/200,PageMaker Time Stamp File,4.0,tym ,X,X,X
x-fmt/201,CCITT G.711 Audio,,ulaw ,X,X,X
x-fmt/203,WordPerfect for Windows Document,5.2,w52 wp wp5 wpd ,X,X,X
x-fmt/204,Microsoft Word for Windows Macro,,wpm ,X,X,X
x-fmt/206,WordStar for Windows Document,1.0,ws wsd wsw ,X,X,X
x-fmt/209,SDSC Image Tool X Window Dump Format,,xwd ,X,X,X
x-fmt/210,XYWrite Document,,xy ,X,X,X
x-fmt/211,XYWrite Document,III,xy3 ,X,X,X
x-fmt/212,Lotus 1-2-3 Worksheet,5.0,,X,X,Yes
x-fmt/213,Quicken Data File,,abd qdf qel ,X,X,X
x-fmt/216,Microsoft Powerpoint Packaged Presentation,,ppz ,X,X,X
x-fmt/217,Adobe ACD,,acd ,X,X,X
x-fmt/224,Cascading Style Sheet,,css ,X,X,X
x-fmt/225,ESRI MapInfo Data File,,mid ,X,X,X
x-fmt/229,Intergraph Raster Image,,ing ,X,X,X
x-fmt/242,Microsoft FoxPro Database,2.6,dbf ,X,X,X
x-fmt/246,Microsoft Project,2000,,X,X,Yes
x-fmt/250,Microsoft Outlook Personal Folders,,,X,X,Yes
x-fmt/251,Microsoft Outlook Personal Folders,,,X,X,Yes
x-fmt/259,Microsoft Visio Drawing,2002,,X,X,X
x-fmt/260,WordStar for MS-DOS Document,4.0,ws ws4 ,X,X,X
x-fmt/262,WordStar for Windows Document,2.0,ws wsw ,X,X,X
x-fmt/272,dBASE Database,V,dbf ,X,X,X
x-fmt/273,Microsoft Word for MS-DOS Document,3.0,,X,X,Yes
x-fmt/277,Real Video,,rv ,X,X,X
x-fmt/279,MPEG 1/2 Audio Layer 3 Streaming,,m3u ,X,X,X
x-fmt/281,Extensible Stylesheet Language,,xsl ,X,X,X
x-fmt/282,8-bit ANSI Text,,ans ,X,X,X
x-fmt/283,8-bit ASCII Text,,asc ,X,X,X
x-fmt/284,IBM DisplayWrite Final Form Text File,,fft ,X,X,X
x-fmt/285,IBM DisplayWrite Revisable Form Text File,,rft ,X,X,X
x-fmt/286,DEC Data Exchange File,,dx ,X,X,X
x-fmt/287,DEC WPS Plus Document,,wpl ,X,X,X
x-fmt/288,IBM DisplayWrite Document,2,,X,X,X
x-fmt/289,IBM DisplayWrite Document,3,,X,X,X
x-fmt/293,Hewlett Packard Graphics Language,,hpgl ,X,X,X
x-fmt/296,Micrografx Designer,3.1,drw ,X,X,X
x-fmt/301,ACBM Graphics,,acb ,X,X,X
x-fmt/305,Apple Sound,,afc ,X,X,X
x-fmt/306,AutoSketch Drawing,,skf ,X,X,X
x-fmt/308,Btrieve Database,5.1,btr ,X,X,X
x-fmt/310,CorelCHART Document,,cch ,X,X,X
x-fmt/311,dBASE Text Memo,,dbt ,X,X,X
x-fmt/312,DesignCAD Drawing,,dc dc2 ,X,X,X
x-fmt/313,DesignCAD for Windows Drawing,,dw2 ,X,X,X
x-fmt/315,Document Type Definition,,dtd ,X,X,X
x-fmt/316,Dr Halo Bitmap,,cut ,X,X,X
x-fmt/321,Framework Database,II,fw fw2 ,X,X,X
x-fmt/322,Framework Database,III,fw3 ,X,X,X
x-fmt/323,Framework Database,IV,fw4 ,X,X,X
x-fmt/326,Hewlett Packard AdvanceWrite Text File,,aw ,X,X,X
x-fmt/327,IntelliDraw Vector Graphics,,idw ,X,X,X
x-fmt/328,InterBase Database,,gdb ,X,X,X
x-fmt/329,Interleaf Document,,doc ,X,X,X
x-fmt/332,Lotus 1-2-3 Spreadsheet Formatting File,3.0,fm3 ,X,X,X
x-fmt/333,Lotus Approach View File,97,apr ,X,X,X
x-fmt/334,Lotus Approach View File,,apt ,X,X,X
x-fmt/335,Lotus Freelance Smartmaster Graphics,,mas ,X,X,X
x-fmt/336,Lotus Notes Database,2,ns2 nsf ,X,X,X
x-fmt/337,Lotus Notes Database,3,ns3 nsf ,X,X,X
x-fmt/338,Lotus Notes Database,4,ns4 nsf ,X,X,X
x-fmt/339,Lotus Notes File,,box ,X,X,X
x-fmt/343,Microsoft Visual FoxPro Table,,dbx ,X,X,X
x-fmt/344,Microsoft Works Database,,bdb ,X,X,X
x-fmt/345,Microsoft Works Document,,bps ,X,X,X
x-fmt/346,Microstation CAD Drawing,95,dgn ,X,X,X
x-fmt/347,MultiMate Text File,4.x,dox ,X,X,X
x-fmt/349,Nota Bene Text File,,nb ,X,X,X
x-fmt/351,PageMaker Document,3.0,pm3 ,X,X,X
x-fmt/353,Professional Write Text File,,pw ,X,X,X
x-fmt/354,SAP Document,,ali ,X,X,X
x-fmt/355,SAS Data File,,ssd ,X,X,X
x-fmt/356,SAS for MS-DOS Database,,ssd ,X,X,X
x-fmt/357,Scanstudio 16-Colour Bitmap,,adc ,X,X,X
x-fmt/358,Silicon Graphics Graphics File,,,X,X,Yes
x-fmt/361,StatGraphics Data File,,aws ,X,X,X
x-fmt/362,StratGraphics Data File,,asf ,X,X,X
x-fmt/365,TeX Binary File,,dvi ,X,X,X
x-fmt/368,VisiCalc Database,,dif ,X,X,X
x-fmt/369,Vista Pro Graphics,,dem ,X,X,X
x-fmt/370,WordStar for MS-DOS Document,3.0,ws ws3 ,X,X,X
x-fmt/371,XYWrite for Windows Document,4.0,xyw ,X,X,X
x-fmt/372,XYWrite Document,III+,xyp ,X,X,X
x-fmt/373,XYWrite Document,IV,xy4 ,X,X,X
x-fmt/380,dBASE for Windows database,5.0,dbf ,X,X,X
x-fmt/381,Dia Graphics Format,,dia ,X,X,X
x-fmt/402,StarOffice Draw,5.2,,X,X,Yes
x-fmt/403,StarOffice Writer,5.2,,X,X,Yes
x-fmt/404,StarOffice Calc,5.2,,X,X,Yes
x-fmt/405,StarOffice Impress,5.2,,X,X,Yes
x-fmt/413,Batch file (executable),,bat ,X,X,X
x-fmt/417,HTML Extension File,,htx ,X,X,X
x-fmt/421,Text Configuration file,,ini ,X,X,X
x-fmt/422,Java language source code file,,java ,X,X,X
x-fmt/423,JavaScript file,,js ,X,X,X
x-fmt/424,Deluxe Paint bitmap,,lbm ,X,X,X
x-fmt/425,Generic Library File,,lib ,X,X,X
x-fmt/426,License file,,lic ,X,X,X
x-fmt/427,Acrobat Language definition file,,lng ,X,X,X
x-fmt/437,CATIA Project,4,project ,X,X,X
x-fmt/441,AutoCAD Database File Locking Information,,dwl ,X,X,X
x-fmt/442,form*Z Project File,,fmz ,X,X,X
x-fmt/443,Revit Family File,,rfa ,X,X,X
x-fmt/444,Revit Family Template,,rft ,X,X,X
x-fmt/445,Revit Template,,rte ,X,X,X
x-fmt/446,Revit External Group,,rvg ,X,X,X
x-fmt/447,Revit Project,,rvt ,X,X,X
x-fmt/448,Revit Workspace,,rws ,X,X,X
x-fmt/449,Steel Detailing Neutral Format,,sdn ,X,X,X
x-fmt/452,SketchUp Document,,,X,X,Yes
